DATE;RAIN;TMPF;DEWF;RAINF;LPZF;KPZF
2000-01-01;0;0.0;0.0;0;0.0;0.0
2000-01-02;0;-23.31;-24.81;0;0.0;0.0
2000-01-03;0;-21.21;-23.71;0;0.0;0.0
2000-01-04;0;-6.81;-11.51;5;0.0;0.0
2000-01-05;0;-13.61;-17.11;2;0.0;0.0
2000-01-07;0;-11.11;-13.91;7;0.0;0.0
2000-01-08;0;-11.11;-13.91;79;0.0;0.0
2000-01-09;0;-20.91;-24.21;6;0.0;0.0
2000-01-10;0;-20.91;-24.21;8;0.0;0.0
2000-01-11;0;-16.51;-19.91;4;0.0;0.0
2000-01-12;0;-20.51;-27.21;0;0.0;0.0
2000-01-13;0;-20.21;-26.01;0;0.0;0.0
2000-01-14;0;-21.31;-27.01;0;0.0;0.0
2000-01-15;0;-24.41;-30.01;0;0.0;0.0
2000-01-16;0;-25.61;-29.51;0;0.0;0.0
2000-01-17;0;-23.11;-27.81;0;0.0;0.0
2000-01-18;0;-24.11;-28.91;0;0.0;0.0
2000-01-19;0;-25.51;-29.41;0;0.0;0.0
2000-01-20;0;-20.61;-26.31;0;0.0;0.0
2000-01-21;0;-20.01;-24.91;0;0.0;0.0
2000-01-22;0;-20.51;-26.21;0;0.0;0.0
2000-01-23;0;-19.51;-25.31;0;0.0;0.0
2000-01-24;0;-21.91;-27.61;0;0.0;0.0
2000-01-25;0;-24.21;-31.61;0;0.0;0.0
2000-01-26;0;999.99;999.99;0;0.0;0.0
2000-01-27;0;-21.41;-27.11;0;0.0;0.0
2000-01-28;0;-13.61;-19.71;0;0.0;0.0
2000-01-29;0;-14.61;-20.71;0;0.0;0.0
2000-01-31;0;-14.51;-26.61;0;0.0;0.0
2000-02-01;0;-13.71;-20.81;0;0.0;0.0
2000-02-02;0;-6.21;-16.11;0;0.0;0.0
2000-02-03;0;-15.01;-20.11;0;0.0;0.0
2000-02-04;0;-13.21;-20.31;0;0.0;0.0
2000-02-05;0;-14.51;-17.91;0;0.0;0.0
2000-02-06;0;999.99;999.99;0;0.0;0.0
2000-02-07;0;-15.61;-19.81;0;0.0;0.0
2000-02-08;0;-13.31;-19.41;0;0.0;0.0
2000-02-09;0;-15.91;-21.01;0;0.0;0.0
2000-02-10;0;-15.21;-20.31;0;0.0;0.0
2000-02-11;0;-11.11;-17.31;0;0.0;0.0
2000-02-12;0;-10.41;-17.71;0;0.0;0.0
2000-02-13;0;-12.51;-18.71;0;0.0;0.0
2000-02-14;0;-14.41;-22.51;0;0.0;0.0
2000-02-15;0;-16.51;-22.41;0;0.0;0.0
2000-02-16;0;-16.71;-21.71;0;0.0;0.0
2000-02-17;0;-11.31;-18.51;0;0.0;0.0
2000-02-18;0;-11.01;-16.31;0;0.0;0.0
2000-02-19;0;-9.01;-14.51;0;0.0;0.0
2000-02-20;0;-9.71;-16.81;0;0.0;0.0
2000-02-21;0;-15.01;-19.21;7;0.0;0.0
2000-02-22;0;-11.51;-15.91;10;0.0;0.0
2000-02-23;0;-13.01;-19.11;0;0.0;0.0
2000-02-24;0;-12.11;-20.41;0;0.0;0.0
2000-02-25;0;-13.41;-18.61;0;0.0;0.0
2000-02-27;0;-13.41;-19.51;0;0.0;0.0
2000-02-28;0;-10.41;-20.11;0;0.0;0.0
2000-02-29;0;-11.51;-18.71;0;0.0;0.0
2000-03-01;0;-10.01;-18.51;0;50.0;50.0
2000-03-02;0;-6.51;-12.01;0;50.0;100.0
2000-03-03;0;-3.11;-12.41;0;50.0;150.0
2000-03-04;0;-5.41;-8.71;10;50.0;0.0
2000-03-05;0;-1.61;-8.51;8;50.0;0.0
2000-03-06;0;-4.11;-12.51;7;50.0;0.0
2000-03-07;0;-6.41;-13.51;5;50.0;0.0
2000-03-08;0;-8.01;-13.11;61;50.0;0.0
2000-03-09;0;-11.31;-14.81;35;50.0;0.0
2000-03-10;0;-12.01;-19.21;14;50.0;0.0
2000-03-11;0;-10.41;-18.81;0;50.0;50.0
2000-03-12;0;-6.51;-16.71;0;50.0;100.0
2000-03-13;0;-8.51;-19.91;0;50.0;150.0
2000-03-14;0;-8.51;-19.91;0;50.0;200.0
2000-03-15;0;-5.51;-13.11;0;50.0;250.0
2000-03-16;0;-2.91;-11.51;0;50.0;300.0
2000-03-17;0;-3.81;-11.01;0;50.0;350.0
2000-03-18;0;-3.61;-11.61;0;50.0;400.0
2000-03-19;0;-3.61;-11.61;0;50.0;450.0
2000-03-20;0;-2.21;-10.81;0;50.0;500.0
2000-03-21;0;-3.81;-9.61;0;50.0;550.0
2000-03-22;0;-2.51;-9.41;0;50.0;600.0
2000-03-23;0;-0.11;-12.31;0;50.0;650.0
2000-03-24;0;-3.51;-5.61;10;50.0;0.0
2000-03-25;0;-3.11;-5.51;71;50.0;0.0
2000-03-26;0;-2.01;-15.51;10;50.0;0.0
2000-03-28;0;-4.61;-11.71;7;50.0;0.0
2000-03-29;0;0.41;-13.51;0;50.0;50.0
2000-03-30;0;4.41;-9.51;0;50.0;100.0
2000-03-31;0;-0.81;-7.21;0;50.0;150.0
2000-04-01;0;1.01;-7.91;7;50.0;0.0
2000-04-02;0;0.81;-8.51;7;50.0;0.0
2000-04-03;0;4.21;-13.51;0;50.0;50.0
2000-04-04;0;4.81;-5.51;0;50.0;100.0
2000-04-05;0;4.51;0.01;7;50.0;0.0
2000-04-06;0;3.61;-8.41;7;50.0;0.0
2000-04-07;0;3.41;-7.81;14;50.0;0.0
2000-04-08;0;5.41;-12.01;0;94.24;94.24
2000-04-09;0;8.81;-6.41;0;134.09;228.33
2000-04-10;0;9.81;-0.51;0;101.24;329.57
2000-04-11;0;2.71;1.11;20;50.0;0.0
2000-04-12;0;7.01;0.01;221;49.07;0.0
2000-04-13;0;8.21;-1.41;0;78.98;78.98
2000-04-14;0;7.51;-5.71;0;99.28;178.26
2000-04-15;0;7.31;-2.71;0;73.25;251.51
2000-04-16;0;9.01;-7.41;0;147.94;399.45
2000-04-17;0;7.71;-2.71;0;80.34;479.79
2000-04-18;0;8.21;-2.21;0;85.55;565.34
2000-04-19;0;8.21;-2.21;14;85.55;0.0
2000-04-22;0;7.01;4.61;30;16.82;0.0
2000-04-23;0;5.41;3.51;41;10.28;0.0
2000-04-24;0;6.91;3.11;62;26.26;0.0
2000-04-25;0;3.61;0.41;7;50.0;0.0
2000-04-26;0;9.31;-0.91;7;95.15;0.0
2000-04-27;0;11.31;0.41;7;123.28;0.0
2000-04-28;0;17.51;-1.71;0;336.54;336.54
2000-04-29;0;21.21;-2.51;0;503.1;839.64
2000-04-30;0;23.71;-0.71;0;579.0;1418.64
2000-05-01;0;24.31;2.51;0;529.96;1948.6
2000-05-02;0;25.41;1.11;0;617.46;2566.06
2000-05-03;0;25.01;1.31;0;592.74;3158.8
2000-05-04;0;21.21;2.91;0;388.14;3546.94
2000-05-05;0;10.21;7.71;27;25.53;0.0
2000-05-06;0;7.61;5.31;127;17.5;0.0
2000-05-07;0;16.61;6.21;0;172.74;172.74
2000-05-08;0;21.11;7.81;0;280.76;453.51
2000-05-09;0;15.51;4.31;5;173.71;0.0
2000-05-10;0;19.41;-7.11;0;514.75;514.75
2000-05-11;0;19.31;-0.51;0;382.72;897.48
2000-05-12;0;12.41;6.11;28;78.18;0.0
2000-05-13;0;10.31;7.11;122;32.99;0.0
2000-05-14;0;10.21;9.21;178;10.21;0.0
2000-05-15;0;12.31;9.31;76;36.93;0.0
2000-05-16;0;17.31;7.11;0;176.56;176.56
2000-05-17;0;19.01;9.51;38;180.6;0.0
2000-05-18;0;21.81;9.01;5;279.17;0.0
2000-05-19;0;22.01;11.21;41;237.71;0.0
2000-05-20;0;22.31;14.51;5;174.02;0.0
2000-05-21;0;20.91;9.51;10;238.37;0.0
2000-05-22;0;13.01;11.11;160;24.72;0.0
2000-05-23;0;12.21;10.31;190;23.2;0.0
2000-05-24;0;15.71;10.21;0;86.41;86.41
2000-05-25;0;17.41;8.51;0;154.95;241.35
2000-05-26;0;18.01;999.99;5;90.05;0.0
2000-05-27;0;21.51;3.61;0;385.03;385.03
2000-05-28;0;19.51;6.51;0;253.63;638.66
2000-05-29;0;22.91;8.11;0;339.07;977.73
2000-05-30;0;20.71;-1.91;0;468.46;1446.19
2000-05-31;0;16.41;4.01;0;203.48;1649.67
2000-06-01;0;20.01;6.21;0;276.14;1925.81
2000-06-02;0;22.21;7.71;0;322.05;2247.85
2000-06-03;0;16.11;9.81;9;101.49;0.0
2000-06-04;0;22.21;9.41;0;284.29;284.29
2000-06-05;0;26.11;10.41;0;409.93;694.21
2000-06-06;0;23.71;6.71;7;403.07;0.0
2000-06-07;0;13.41;4.81;8;115.33;0.0
2000-06-08;0;6.11;5.01;0;6.72;6.72
2000-06-09;0;19.41;5.31;0;273.68;280.4
2000-06-10;0;19.21;5.31;0;267.02;547.42
2000-06-11;0;23.91;9.41;0;346.69;894.12
2000-06-12;0;27.11;12.11;0;406.65;1300.77
2000-06-13;0;23.71;11.71;3;284.52;1585.29
2000-06-14;0;24.01;7.11;0;405.77;1991.06
2000-06-15;0;24.41;10.61;51;336.86;0.0
2000-06-16;0;28.01;10.31;0;495.78;495.78
2000-06-17;0;27.81;8.91;0;525.61;1021.39
2000-06-18;0;27.81;8.91;0;525.61;1546.99
2000-06-19;0;19.31;9.51;5;189.24;0.0
2000-06-20;0;21.01;8.91;30;254.22;0.0
2000-06-21;0;23.61;15.31;7;195.96;0.0
2000-06-22;0;19.21;11.21;0;153.68;153.68
2000-06-23;0;24.01;15.01;0;216.09;369.77
2000-06-24;0;31.11;19.01;0;376.43;746.2
2000-06-25;0;31.41;16.71;0;461.73;1207.93
2000-06-27;0;27.21;16.91;7;280.26;0.0
2000-06-28;0;25.11;16.71;150;210.92;0.0
2000-06-29;0;22.21;17.01;180;115.49;0.0
2000-06-30;0;24.41;17.41;33;170.87;0.0
2000-07-01;0;21.71;14.01;58;167.17;0.0
2000-07-02;0;19.91;14.21;25;113.49;0.0
2000-07-03;0;27.21;17.91;0;253.05;253.05
2000-07-04;0;29.81;18.51;0;336.85;589.91
2000-07-05;0;32.81;23.91;0;292.01;881.91
2000-07-06;0;23.51;20.11;79;79.93;0.0
2000-07-07;0;26.61;18.41;0;218.2;218.2
2000-07-08;0;30.61;16.61;0;428.54;646.74
2000-07-09;0;28.81;15.91;0;371.65;1018.39
2000-07-10;0;31.61;17.41;0;448.86;1467.25
2000-07-11;0;35.01;21.41;0;476.14;1943.39
2000-07-12;0;33.71;19.31;5;485.42;0.0
2000-07-13;0;28.81;21.71;191;204.55;0.0
2000-07-14;0;24.21;19.51;12;113.79;0.0
2000-07-15;0;26.01;17.61;0;218.48;218.48
2000-07-16;0;27.01;16.71;99;278.2;0.0
2000-07-17;0;24.71;16.81;0;195.21;195.21
2000-07-18;0;23.11;13.21;10;228.79;0.0
2000-07-19;0;23.81;12.51;0;269.05;269.05
2000-07-20;0;24.11;15.01;0;219.4;488.45
2000-07-21;0;25.61;18.21;20;189.51;0.0
2000-07-22;0;22.51;19.51;552;67.53;0.0
2000-07-23;0;23.31;17.51;61;135.2;0.0
2000-07-25;0;20.31;18.21;231;42.65;0.0
2000-07-26;0;24.01;17.01;13;168.07;0.0
2000-07-27;0;21.71;14.61;68;154.14;0.0
2000-07-28;0;25.31;18.61;201;169.58;0.0
2000-07-29;0;20.01;18.11;91;38.02;0.0
2000-07-30;0;26.01;23.21;109;72.83;0.0
2000-07-31;0;18.81;17.71;201;20.69;0.0
2000-08-01;0;22.41;16.71;0;127.74;127.74
2000-08-02;0;25.11;17.81;0;183.3;311.04
2000-08-03;0;26.61;18.21;0;223.52;534.56
2000-08-04;0;29.11;18.61;0;305.65;840.22
2000-08-05;0;29.51;17.41;0;357.07;1197.29
2000-08-06;0;29.51;17.41;0;357.07;1554.36
2000-08-07;0;29.01;20.91;0;234.98;1789.34
2000-08-08;0;30.81;18.11;89;391.29;0.0
2000-08-09;0;26.61;14.91;0;311.34;311.34
2000-08-10;0;28.81;22.01;10;195.91;0.0
2000-08-11;0;29.21;21.21;41;233.68;0.0
2000-08-12;0;28.41;15.01;20;380.69;0.0
2000-08-13;0;28.41;15.01;0;380.69;380.69
2000-08-14;0;31.21;20.41;0;337.07;717.76
2000-08-15;0;26.31;21.41;0;128.92;846.68
2000-08-16;0;24.31;23.61;160;17.02;0.0
2000-01-01;0;21.41;16.11;0;0.0;0.0
2000-01-02;0;-23.31;-24.81;0;0.0;0.0
2000-01-03;0;-21.21;-23.71;0;0.0;0.0
2000-01-04;0;-6.81;-11.51;5;0.0;0.0
2000-01-05;0;-13.61;-17.11;2;0.0;0.0
2000-01-07;0;-11.11;-13.91;7;0.0;0.0
2000-01-08;0;-11.11;-13.91;79;0.0;0.0
2000-01-09;0;-20.91;-24.21;6;0.0;0.0
2000-01-10;0;-20.91;-24.21;8;0.0;0.0
2000-01-11;0;-16.51;-19.91;4;0.0;0.0
2000-01-12;0;-20.51;-27.21;0;0.0;0.0
2000-01-13;0;-20.21;-26.01;0;0.0;0.0
2000-01-14;0;-21.31;-27.01;0;0.0;0.0
2000-01-15;0;-24.41;-30.01;0;0.0;0.0
2000-01-16;0;-25.61;-29.51;0;0.0;0.0
2000-01-17;0;-23.11;-27.81;0;0.0;0.0
2000-01-18;0;-24.11;-28.91;0;0.0;0.0
2000-01-19;0;-25.51;-29.41;0;0.0;0.0
2000-01-20;0;-20.61;-26.31;0;0.0;0.0
2000-01-21;0;-20.01;-24.91;0;0.0;0.0
2000-01-22;0;-20.51;-26.21;0;0.0;0.0
2000-01-23;0;-19.51;-25.31;0;0.0;0.0
2000-01-24;0;-21.91;-27.61;0;0.0;0.0
2000-01-25;0;-24.21;-31.61;0;0.0;0.0
2000-01-26;0;999.99;999.99;0;0.0;0.0
2000-01-27;0;-21.41;-27.11;0;0.0;0.0
2000-01-28;0;-13.61;-19.71;0;0.0;0.0
2000-01-29;0;-14.61;-20.71;0;0.0;0.0
2000-01-31;0;-14.51;-26.61;0;0.0;0.0
2000-02-01;0;-13.71;-20.81;0;0.0;0.0
2000-02-02;0;-6.21;-16.11;0;0.0;0.0
2000-02-03;0;-15.01;-20.11;0;0.0;0.0
2000-02-04;0;-13.21;-20.31;0;0.0;0.0
2000-02-05;0;-14.51;-17.91;0;0.0;0.0
2000-02-06;0;999.99;999.99;0;0.0;0.0
2000-02-07;0;-15.61;-19.81;0;0.0;0.0
2000-02-08;0;-13.31;-19.41;0;0.0;0.0
2000-02-09;0;-15.91;-21.01;0;0.0;0.0
2000-02-10;0;-15.21;-20.31;0;0.0;0.0
2000-02-11;0;-11.11;-17.31;0;0.0;0.0
2000-02-12;0;-10.41;-17.71;0;0.0;0.0
2000-02-13;0;-12.51;-18.71;0;0.0;0.0
2000-02-14;0;-14.41;-22.51;0;0.0;0.0
2000-02-15;0;-16.51;-22.41;0;0.0;0.0
2000-02-16;0;-16.71;-21.71;0;0.0;0.0
2000-02-17;0;-11.31;-18.51;0;0.0;0.0
2000-02-18;0;-11.01;-16.31;0;0.0;0.0
2000-02-19;0;-9.01;-14.51;0;0.0;0.0
2000-02-20;0;-9.71;-16.81;0;0.0;0.0
2000-02-21;0;-15.01;-19.21;7;0.0;0.0
2000-02-22;0;-11.51;-15.91;10;0.0;0.0
2000-02-23;0;-13.01;-19.11;0;0.0;0.0
2000-02-24;0;-12.11;-20.41;0;0.0;0.0
2000-02-25;0;-13.41;-18.61;0;0.0;0.0
2000-02-27;0;-13.41;-19.51;0;0.0;0.0
2000-02-28;0;-10.41;-20.11;0;0.0;0.0
2000-02-29;0;-11.51;-18.71;0;0.0;0.0
2000-03-01;0;-10.01;-18.51;0;50.0;50.0
2000-03-02;0;-6.51;-12.01;0;50.0;100.0
2000-03-03;0;-3.11;-12.41;0;50.0;150.0
2000-03-04;0;-5.41;-8.71;10;50.0;0.0
2000-03-05;0;-1.61;-8.51;8;50.0;0.0
2000-03-06;0;-4.11;-12.51;7;50.0;0.0
2000-03-07;0;-6.41;-13.51;5;50.0;0.0
2000-03-08;0;-8.01;-13.11;61;50.0;0.0
2000-03-09;0;-11.31;-14.81;35;50.0;0.0
2000-03-10;0;-12.01;-19.21;14;50.0;0.0
2000-03-11;0;-10.41;-18.81;0;50.0;50.0
2000-03-12;0;-6.51;-16.71;0;50.0;100.0
2000-03-13;0;-8.51;-19.91;0;50.0;150.0
2000-03-14;0;-8.51;-19.91;0;50.0;200.0
2000-03-15;0;-5.51;-13.11;0;50.0;250.0
2000-03-16;0;-2.91;-11.51;0;50.0;300.0
2000-03-17;0;-3.81;-11.01;0;50.0;350.0
2000-03-18;0;-3.61;-11.61;0;50.0;400.0
2000-03-19;0;-3.61;-11.61;0;50.0;450.0
2000-03-20;0;-2.21;-10.81;0;50.0;500.0
2000-03-21;0;-3.81;-9.61;0;50.0;550.0
2000-03-22;0;-2.51;-9.41;0;50.0;600.0
2000-03-23;0;-0.11;-12.31;0;50.0;650.0
2000-03-24;0;-3.51;-5.61;10;50.0;0.0
2000-03-25;0;-3.11;-5.51;71;50.0;0.0
2000-03-26;0;-2.01;-15.51;10;50.0;0.0
2000-03-28;0;-4.61;-11.71;7;50.0;0.0
2000-03-29;0;0.41;-13.51;0;50.0;50.0
2000-03-30;0;4.41;-9.51;0;50.0;100.0
2000-03-31;0;-0.81;-7.21;0;50.0;150.0
2000-04-01;0;1.01;-7.91;7;50.0;0.0
2000-04-02;0;0.81;-8.51;7;50.0;0.0
2000-04-03;0;4.21;-13.51;0;50.0;50.0
2000-04-04;0;4.81;-5.51;0;50.0;100.0
2000-04-05;0;4.51;0.01;7;50.0;0.0
2000-04-06;0;3.61;-8.41;7;50.0;0.0
2000-04-07;0;3.41;-7.81;14;50.0;0.0
2000-04-08;0;5.41;-12.01;0;94.24;94.24
2000-04-09;0;8.81;-6.41;0;134.09;228.33
2000-04-10;0;9.81;-0.51;0;101.24;329.57
2000-04-11;0;2.71;1.11;20;50.0;0.0
2000-04-12;0;7.01;0.01;221;49.07;0.0
2000-04-13;0;8.21;-1.41;0;78.98;78.98
2000-04-14;0;7.51;-5.71;0;99.28;178.26
2000-04-15;0;7.31;-2.71;0;73.25;251.51
2000-04-16;0;9.01;-7.41;0;147.94;399.45
2000-04-17;0;7.71;-2.71;0;80.34;479.79
2000-04-18;0;8.21;-2.21;0;85.55;565.34
2000-04-19;0;8.21;-2.21;14;85.55;0.0
2000-04-22;0;7.01;4.61;30;16.82;0.0
2000-04-23;0;5.41;3.51;41;10.28;0.0
2000-04-24;0;6.91;3.11;62;26.26;0.0
2000-04-25;0;3.61;0.41;7;50.0;0.0
2000-04-26;0;9.31;-0.91;7;95.15;0.0
2000-04-27;0;11.31;0.41;7;123.28;0.0
2000-04-28;0;17.51;-1.71;0;336.54;336.54
2000-04-29;0;21.21;-2.51;0;503.1;839.64
2000-04-30;0;23.71;-0.71;0;579.0;1418.64
2000-05-01;0;24.31;2.51;0;529.96;1948.6
2000-05-02;0;25.41;1.11;0;617.46;2566.06
2000-05-03;0;25.01;1.31;0;592.74;3158.8
2000-05-04;0;21.21;2.91;0;388.14;3546.94
2000-05-05;0;10.21;7.71;27;25.53;0.0
2000-05-06;0;7.61;5.31;127;17.5;0.0
2000-05-07;0;16.61;6.21;0;172.74;172.74
2000-05-08;0;21.11;7.81;0;280.76;453.51
2000-05-09;0;15.51;4.31;5;173.71;0.0
2000-05-10;0;19.41;-7.11;0;514.75;514.75
2000-05-11;0;19.31;-0.51;0;382.72;897.48
2000-05-12;0;12.41;6.11;28;78.18;0.0
2000-05-13;0;10.31;7.11;122;32.99;0.0
2000-05-14;0;10.21;9.21;178;10.21;0.0
2000-05-15;0;12.31;9.31;76;36.93;0.0
2000-05-16;0;17.31;7.11;0;176.56;176.56
2000-05-17;0;19.01;9.51;38;180.6;0.0
2000-05-18;0;21.81;9.01;5;279.17;0.0
2000-05-19;0;22.01;11.21;41;237.71;0.0
2000-05-20;0;22.31;14.51;5;174.02;0.0
2000-05-21;0;20.91;9.51;10;238.37;0.0
2000-05-22;0;13.01;11.11;160;24.72;0.0
2000-05-23;0;12.21;10.31;190;23.2;0.0
2000-05-24;0;15.71;10.21;0;86.41;86.41
2000-05-25;0;17.41;8.51;0;154.95;241.35
2000-05-26;0;18.01;999.99;5;90.05;0.0
2000-05-27;0;21.51;3.61;0;385.03;385.03
2000-05-28;0;19.51;6.51;0;253.63;638.66
2000-05-29;0;22.91;8.11;0;339.07;977.73
2000-05-30;0;20.71;-1.91;0;468.46;1446.19
2000-05-31;0;16.41;4.01;0;203.48;1649.67
2000-06-01;0;20.01;6.21;0;276.14;1925.81
2000-06-02;0;22.21;7.71;0;322.05;2247.85
2000-06-03;0;16.11;9.81;9;101.49;0.0
2000-06-04;0;22.21;9.41;0;284.29;284.29
2000-06-05;0;26.11;10.41;0;409.93;694.21
2000-06-06;0;23.71;6.71;7;403.07;0.0
2000-06-07;0;13.41;4.81;8;115.33;0.0
2000-06-08;0;6.11;5.01;0;6.72;6.72
2000-06-09;0;19.41;5.31;0;273.68;280.4
2000-06-10;0;19.21;5.31;0;267.02;547.42
2000-06-11;0;23.91;9.41;0;346.69;894.12
2000-06-12;0;27.11;12.11;0;406.65;1300.77
2000-06-13;0;23.71;11.71;3;284.52;1585.29
2000-06-14;0;24.01;7.11;0;405.77;1991.06
2000-06-15;0;24.41;10.61;51;336.86;0.0
2000-06-16;0;28.01;10.31;0;495.78;495.78
2000-06-17;0;27.81;8.91;0;525.61;1021.39
2000-06-18;0;27.81;8.91;0;525.61;1546.99
2000-06-19;0;19.31;9.51;5;189.24;0.0
2000-06-20;0;21.01;8.91;30;254.22;0.0
2000-06-21;0;23.61;15.31;7;195.96;0.0
2000-06-22;0;19.21;11.21;0;153.68;153.68
2000-06-23;0;24.01;15.01;0;216.09;369.77
2000-06-24;0;31.11;19.01;0;376.43;746.2
2000-06-25;0;31.41;16.71;0;461.73;1207.93
2000-06-27;0;27.21;16.91;7;280.26;0.0
2000-06-28;0;25.11;16.71;150;210.92;0.0
2000-06-29;0;22.21;17.01;180;115.49;0.0
2000-06-30;0;24.41;17.41;33;170.87;0.0
2000-07-01;0;21.71;14.01;58;167.17;0.0
2000-07-02;0;19.91;14.21;25;113.49;0.0
2000-07-03;0;27.21;17.91;0;253.05;253.05
2000-07-04;0;29.81;18.51;0;336.85;589.91
2000-07-05;0;32.81;23.91;0;292.01;881.91
2000-07-06;0;23.51;20.11;79;79.93;0.0
2000-07-07;0;26.61;18.41;0;218.2;218.2
2000-07-08;0;30.61;16.61;0;428.54;646.74
2000-07-09;0;28.81;15.91;0;371.65;1018.39
2000-07-10;0;31.61;17.41;0;448.86;1467.25
2000-07-11;0;35.01;21.41;0;476.14;1943.39
2000-07-12;0;33.71;19.31;5;485.42;0.0
2000-07-13;0;28.81;21.71;191;204.55;0.0
2000-07-14;0;24.21;19.51;12;113.79;0.0
2000-07-15;0;26.01;17.61;0;218.48;218.48
2000-07-16;0;27.01;16.71;99;278.2;0.0
2000-07-17;0;24.71;16.81;0;195.21;195.21
2000-07-18;0;23.11;13.21;10;228.79;0.0
2000-07-19;0;23.81;12.51;0;269.05;269.05
2000-07-20;0;24.11;15.01;0;219.4;488.45
2000-07-21;0;25.61;18.21;20;189.51;0.0
2000-07-22;0;22.51;19.51;552;67.53;0.0
2000-07-23;0;23.31;17.51;61;135.2;0.0
2000-07-25;0;20.31;18.21;231;42.65;0.0
2000-07-26;0;24.01;17.01;13;168.07;0.0
2000-07-27;0;21.71;14.61;68;154.14;0.0
2000-07-28;0;25.31;18.61;201;169.58;0.0
2000-07-29;0;20.01;18.11;91;38.02;0.0
2000-07-30;0;26.01;23.21;109;72.83;0.0
2000-07-31;0;18.81;17.71;201;20.69;0.0
2000-08-01;0;22.41;16.71;0;127.74;127.74
2000-08-02;0;25.11;17.81;0;183.3;311.04
2000-08-03;0;26.61;18.21;0;223.52;534.56
2000-08-04;0;29.11;18.61;0;305.65;840.22
2000-08-05;0;29.51;17.41;0;357.07;1197.29
2000-08-06;0;29.51;17.41;0;357.07;1554.36
2000-08-07;0;29.01;20.91;0;234.98;1789.34
2000-08-08;0;30.81;18.11;89;391.29;0.0
2000-08-09;0;26.61;14.91;0;311.34;311.34
2000-08-10;0;28.81;22.01;10;195.91;0.0
2000-08-11;0;29.21;21.21;41;233.68;0.0
2000-08-12;0;28.41;15.01;20;380.69;0.0
2000-08-13;0;28.41;15.01;0;380.69;380.69
2000-08-14;0;31.21;20.41;0;337.07;717.76
2000-08-15;0;26.31;21.41;0;128.92;846.68
2000-08-16;0;24.31;23.61;160;17.02;0.0
